2017-01-19 16:30 +08:00: 制作矩形图
2017-01-19 16:30 +08:00: type 类型 rp
2017-01-19 16:30 +08:00: 视图sql 语句 select * from dbo.GIS_MileageReport where ReportDate between '2016-12-19' and '2017-01-19'
2017-01-19 16:30 +08:00: connect success
2017-01-19 16:30 +08:00: the datacounts 328
2017-01-19 16:30 +08:00: 进入视图RECT PEOPLE 操作
2017-01-19 16:30 +08:00: RECT ORG 有不同的人员 212
2017-01-19 16:30 +08:00: Rect ORG 外层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 确定
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
