2017-01-19 16:30 +08:00: 进入视图RECT ORG 操作
2017-01-19 16:30 +08:00: RECT ORG 有不同的部门数量 79
2017-01-19 16:30 +08:00: Rect ORG 外层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 确定
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 确定
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 确定
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 确定
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 确定
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 确定
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 确定
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 确定
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
2017-01-19 16:30 +08:00: Rect ORG 内层循环
